12:13:14.709 > 171,2.3831062,1.7198769,25.19,24.3816803,0.0002077972
12:13:14.716 > 172,2.3830774,1.7290491,25.19,24.3721610,0.0002123833
12:13:14.723 > 173,2.3835368,1.7375658,25.19,24.3691585,0.0002166417
12:13:14.731 > 174,2.3845282,1.7461939,25.25,24.3724265,0.0002209557
12:13:14.738 > 175,2.3852642,1.7558430,25.25,24.3716083,0.0002257803
12:13:14.745 > 176,2.3855450,1.7649050,25.25,24.3659186,0.0002303113
12:13:14.753 > 177,2.3856053,1.7739828,25.25,24.3575637,0.0002348502
12:13:14.759 > 178,2.3873079,1.7840286,25.25,24.3679474,0.0002398731
12:13:14.768 > 179,2.3877008,1.7927171,25.25,24.3639739,0.0002442173
12:13:14.774 > 180,2.3883576,1.8021989,25.25,24.3623752,0.0002489582
12:13:14.781 > 181,2.3889406,1.8117610,25.25,24.3598073,0.0002537393
12:13:14.788 > 182,2.3893299,1.8219312,25.25,24.3543101,0.0002588244
12:13:14.796 > 183,2.3898363,1.8305496,25.25,24.3517686,0.0002631336
12:13:14.803 > 184,2.3904822,1.8407545,25.25,24.3493151,0.0002682360
12:13:14.810 > 185,2.3913279,1.8509893,25.25,24.3492274,0.0002733534
12:13:14.818 > 186,2.3920987,1.8599598,25.25,24.3495075,0.0002778387
12:13:14.825 > 187,2.3927689,1.8709404,25.25,24.3465683,0.0002833290
12:13:14.832 > 188,2.3930783,1.8812239,25.25,24.3399984,0.0002884707
12:13:14.840 > 189,2.3932350,1.8924037,25.25,24.3306974,0.0002940607
12:13:14.847 > 190,2.3945980,1.9010513,25.25,24.3384072,0.0002983844
12:13:14.854 > 191,2.3954899,1.9113678,25.25,24.3387948,0.0003035427
12:13:14.861 > 192,2.3954058,1.9224616,25.25,24.3266900,0.0003090896
12:13:14.868 > 193,2.3960595,1.9325612,25.25,24.3244354,0.0003141394
12:13:14.875 > 194,2.3965664,1.9432365,25.25,24.3198426,0.0003194770
12:13:14.883 > 195,2.3975389,1.9544644,25.25,24.3202838,0.0003250910
12:13:14.890 > 196,2.3978894,1.9638377,25.25,24.3151181,0.0003297777
12:13:14.898 > 197,2.3983560,1.9747586,25.25,24.3097953,0.0003352381
12:13:14.905 > 198,2.3990791,1.9853059,25.25,24.3079246,0.0003405117
12:13:14.912 > 199,2.4000072,1.9960623,25.25,24.3083071,0.0003458899
12:13:14.919 > 200,2.4004281,2.0070837,25.25,24.3023364,0.0003514006
12:13:14.928 > 201,2.4017296,2.0184517,25.25,24.3065857,0.0003570846
12:13:14.936 > 202,2.4023073,2.0299501,25.25,24.3020186,0.0003628338
12:13:14.944 > 203,2.4026697,2.0394690,25.25,24.2968485,0.0003675933
12:13:14.950 > 204,2.4028640,2.0512137,25.25,24.2874364,0.0003734656
12:13:14.957 > 205,2.4037871,2.0629778,25.25,24.2867503,0.0003793477
12:13:14.964 > 206,2.4042246,2.0740266,25.31,24.2809524,0.0003848721
12:13:14.972 > 207,2.4050820,2.0845184,25.31,24.2807488,0.0003901180
12:13:14.979 > 208,2.4057083,2.0955660,25.31,24.2772161,0.0003956418
12:13:14.986 > 209,2.4064145,2.1065321,25.31,24.2747244,0.0004011248
12:13:14.993 > 210,2.4068384,2.1192784,25.31,24.2670650,0.0004074980
12:13:15.000 > 211,2.4074891,2.1305709,25.31,24.2635812,0.0004131442
12:13:15.008 > 212,2.4081771,2.1414144,25.31,24.2609927,0.0004185660
12:13:15.015 > 213,2.4087090,2.1518819,25.31,24.2569091,0.0004237998
12:13:15.023 > 214,2.4088912,2.1637111,25.31,24.2472658,0.0004297143
12:13:15.031 > 215,2.4100103,2.1754715,25.31,24.2489349,0.0004355946
12:13:15.038 > 216,2.4102981,2.1863656,25.31,24.2414932,0.0004410416
12:13:15.045 > 217,2.4111862,2.1974249,25.31,24.2410922,0.0004465712
12:13:15.053 > 218,2.4116201,2.2096081,25.31,24.2341160,0.0004526628
12:13:15.060 > 219,2.4125998,2.2208319,25.31,24.2346491,0.0004582747
12:13:15.067 > 220,2.4134054,2.2320206,25.31,24.2331268,0.0004638691
12:13:15.074 > 221,2.4136758,2.2441814,25.31,24.2242105,0.0004699495
12:13:15.081 > 222,2.4138007,2.2547483,25.31,24.2151427,0.0004752330
12:13:15.089 > 223,2.4148395,2.2653902,25.31,24.2169654,0.0004805539
12:13:15.096 > 224,2.4154179,2.2773802,25.31,24.2119181,0.0004865489
12:13:15.103 > 225,2.4158571,2.2884784,25.31,24.2060880,0.0004920980
12:13:15.111 > 226,2.4164116,2.2989185,25.37,24.2023046,0.0004973180
12:13:15.118 > 227,2.4172304,2.3113863,25.37,24.1996595,0.0005035520
12:13:15.125 > 228,2.4172926,2.3215165,25.37,24.1902771,0.0005086170
12:13:15.133 > 229,2.4185898,2.3329387,25.37,24.1944227,0.0005143281
12:13:15.140 > 230,2.4193666,2.3439662,25.37,24.1927144,0.0005198419
12:13:15.148 > 231,2.4197638,2.3556328,25.37,24.1858162,0.0005256752
12:13:15.155 > 232,2.4192801,2.3659577,25.37,24.1696853,0.0005308376
12:13:15.163 > 233,2.4200082,2.3779454,25.37,24.1664352,0.0005368315
12:13:15.170 > 234,2.4208112,2.3907654,25.37,24.1632511,0.0005432415
12:13:15.177 > 235,2.4217112,2.4033022,25.37,24.1615157,0.0005495099
12:13:15.185 > 236,2.4215662,2.4132311,25.37,24.1498472,0.0005544744
12:13:15.192 > 237,2.4232988,2.4251263,25.37,24.1587421,0.0005604220
12:13:15.199 > 238,2.4243896,2.4368317,25.37,24.1601250,0.0005662746
12:13:15.206 > 239,2.4248350,2.4513469,25.37,24.1509542,0.0005735322
12:13:15.213 > 240,2.4256916,2.4637251,25.37,24.1488566,0.0005797214
12:13:15.221 > 241,2.4261150,2.4752388,25.37,24.1424241,0.0005854782
12:13:15.229 > 242,2.4271204,2.4887352,25.37,24.1409935,0.0005922264
12:13:15.236 > 243,2.4277930,2.5025294,25.37,24.1352694,0.0005991235
12:13:15.243 > 244,2.4284859,2.5154858,25.37,24.1306271,0.0006056016
12:13:15.251 > 245,2.4293332,2.5280876,25.37,24.1281933,0.0006119026
12:13:15.258 > 246,2.4295168,2.5403070,25.37,24.1181769,0.0006180123
12:13:15.265 > 247,2.4301553,2.5542450,25.37,24.1119008,0.0006249813
12:13:15.272 > 248,2.4318929,2.5674002,25.37,24.1195967,0.0006315589
12:13:15.280 > 249,2.4316492,2.5799625,25.37,24.1041104,0.0006378400
12:13:15.288 > 250,2.4325669,2.5926745,25.37,24.1024115,0.0006441961
12:13:15.294 > 251,2.4324114,2.6048505,25.37,24.0883700,0.0006502841
12:13:15.302 > 252,2.4338434,2.6184864,25.37,24.0919156,0.0006571020
12:13:15.309 > 253,2.4341223,2.6317201,25.37,24.0820312,0.0006637188
12:13:15.316 > 254,2.4344525,2.6433909,25.37,24.0743219,0.0006695542
12:13:15.324 > 255,2.4344141,2.6554701,25.37,24.0617830,0.0006755939
12:13:15.331 > 256,2.4358587,2.6683626,25.37,24.0662245,0.0006820401
12:13:15.338 > 257,2.4358351,2.6803260,25.37,24.0539789,0.0006880218
12:13:15.346 > 258,2.4365387,2.6941597,25.44,24.0485870,0.0006949386
12:13:15.353 > 259,2.4367220,2.7066076,25.44,24.0383403,0.0007011626
12:13:15.361 > 260,2.4373102,2.7190132,25.44,24.0329918,0.0007073654
12:13:15.368 > 261,2.4382045,2.7323742,25.44,24.0303616,0.0007140459
12:13:15.376 > 262,2.4387584,2.7456050,25.44,24.0237779,0.0007206613
12:13:15.383 > 263,2.4391239,2.7575974,25.44,24.0161705,0.0007266575
12:13:15.389 > 264,2.4400427,2.7702596,25.44,24.0145366,0.0007329886
12:13:15.397 > 265,2.4409170,2.7824266,25.44,24.0128600,0.0007390721
12:13:15.404 > 266,2.4420121,2.7941613,25.44,24.0142669,0.0007449394
12:13:15.411 > 267,2.4424062,2.8094168,25.44,24.0037398,0.0007525672
12:13:15.419 > 268,2.4429710,2.8223500,25.44,23.9975833,0.0007590338
12:13:15.426 > 269,2.4443290,2.8323691,25.44,24.0038607,0.0007640433
12:13:15.433 > 270,2.4447262,2.8454304,25.44,23.9955678,0.0007705740
12:13:15.441 > 271,2.4452326,2.8586898,25.44,23.9883852,0.0007772037
12:13:15.448 > 272,2.4452071,2.8709724,25.44,23.9757955,0.0007833450
12:13:15.455 > 273,2.4457030,2.8838351,25.44,23.9688837,0.0007897763
12:13:15.462 > 274,2.4462197,2.8962681,25.44,23.9626514,0.0007959928
12:13:15.469 > 275,2.4467747,2.9089546,25.44,23.9566254,0.0008023361
12:13:15.476 > 276,2.4476881,2.9219007,25.44,23.9546389,0.0008088092
12:13:15.484 > 277,2.4489889,2.9340274,25.44,23.9581220,0.0008148725
12:13:15.491 > 278,2.4489584,2.9473696,25.44,23.9444136,0.0008215436
12:13:15.498 > 279,2.4489043,2.9585481,25.44,23.9325866,0.0008271328
12:13:15.505 > 280,2.4502623,2.9728718,25.44,23.9345593,0.0008342947
12:13:15.512 > 281,2.4506207,2.9839809,25.44,23.9277493,0.0008398492
12:13:15.519 > 282,2.4524271,2.9986527,25.44,23.9347565,0.0008471851
12:13:15.526 > 283,2.4524632,3.0116026,25.44,23.9222376,0.0008536601
12:13:15.534 > 284,2.4539204,3.0245750,25.44,23.9267518,0.0008601463
12:13:15.541 > 285,2.4543397,3.0363379,25.44,23.9200205,0.0008660277
12:13:15.548 > 286,2.4541271,3.0494802,25.44,23.9043262,0.0008725989
12:13:15.555 > 287,2.4542818,3.0602043,25.44,23.8954598,0.0008779609
12:13:15.562 > 288,2.4549003,3.0737383,25.44,23.8893473,0.0008847280
12:13:15.570 > 289,2.4567342,3.0870218,25.50,23.8980708,0.0008913697
12:13:15.577 > 290,2.4577041,3.1003098,25.50,23.8964214,0.0008980137
12:13:15.585 > 291,2.4582245,3.1120551,25.50,23.8909227,0.0009038863
12:13:15.591 > 292,2.4588983,3.1253576,25.50,23.8857035,0.0009105376
12:13:15.598 > 293,2.4593542,3.1369402,25.50,23.8795912,0.0009163289
12:13:15.606 > 294,2.4600439,3.1496811,25.50,23.8751282,0.0009226993
12:13:15.613 > 295,2.4601510,3.1626301,25.50,23.8634648,0.0009291738
12:13:15.620 > 296,2.4610851,3.1766040,25.50,23.8606984,0.0009361608
12:13:15.628 > 297,2.4625096,3.1886790,25.50,23.8657190,0.0009421983
12:13:15.635 > 298,2.4624956,3.2017860,25.50,23.8524422,0.0009487518
12:13:15.642 > 299,2.4632108,3.2144561,25.50,23.8483552,0.0009550868
12:13:15.649 > 300,2.4642277,3.2268794,25.50,23.8481352,0.0009612985
12:13:15.657 > 301,2.4647896,3.2386899,25.50,23.8430690,0.0009672038
12:13:15.664 > 302,2.4653149,3.2536380,25.50,23.8344228,0.0009746778
12:13:15.672 > 303,2.4656670,3.2645328,25.50,23.8277547,0.0009801252
12:13:15.679 > 304,2.4663267,3.2784598,25.50,23.8217432,0.0009870887
12:13:15.686 > 305,2.4667478,3.2900686,25.50,23.8151869,0.0009928931
12:13:15.693 > 306,2.4672639,3.3009365,25.50,23.8105123,0.0009983270
12:13:15.701 > 307,2.4677525,3.3127029,25.50,23.8046090,0.0010042102
12:13:15.708 > 308,2.4681711,3.3255942,25.50,23.7967417,0.0010106559
12:13:15.716 > 309,2.4690874,3.3383727,25.50,23.7949571,0.0010170451
12:13:15.723 > 310,2.4693074,3.3496628,25.50,23.7863087,0.0010226902
12:13:15.730 > 311,2.4702530,3.3622568,25.50,23.7850616,0.0010289871
12:13:15.737 > 312,2.4704790,3.3747959,25.50,23.7752347,0.0010352568
